geometry,Longitude,Latitude,Dissolved oxygen (mg/L),Potential of Hydrogen (pH),Total Dissolved Solids (mg/L),Nitrate N (mgN/L),Amonia N (mgN/L)
POINT (80.37861111 26.47222222),80.37861111,26.47222222,6.935051752921536,8.146025876460769,253.82136894824708,1.6308597863105174,0.11608327212020032
POINT (80.37566730057142 26.476355077142856),80.37566730057142,26.476355077142856,6.93094101445764,8.144721500745343,253.54412098087113,1.6294823385653985,0.11678600596211754
POINT (80.37272349114285 26.480487934285712),80.37272349114285,26.480487934285712,6.920079474707104,8.14114598220511,252.78472764405018,1.6256972693058256,0.11868220363178664
POINT (80.36977968171428 26.484620791428572),80.36977968171428,26.484620791428572,6.904322134604291,8.13571633707033,251.63255474030368,1.619933667515347,0.12150607290911841
POINT (80.3668358722857 26.48875364857143),80.3668358722857,26.48875364857143,6.885100352899862,8.128739963762708,250.1534895705657,1.6125077771004193,0.1250554453503298
POINT (80.36389206285713 26.492886505714285),80.36389206285713,26.492886505714285,6.863493433083417,8.120431829672853,248.39363202086324,1.6036405281025046,0.12918145906559445
POINT (80.36094825342857 26.49701936285714),80.36094825342857,26.49701936285714,6.840302698873931,8.110933498942497,246.38336979541057,1.5934771286559801,0.1337774522519985
POINT (80.358004444 26.501152219999998),80.358004444,26.501152219999998,6.81611804868054,8.100331341703933,244.14127093753214,1.5821059321802682,0.13876863563818523
POINT (80.35506063457143 26.505285077142858),80.35506063457143,26.505285077142858,6.791373618719364,8.088673005513215,241.67759861995157,1.5695756013167543,0.14410309385221226
POINT (80.35211682514286 26.509417934285715),80.35211682514286,26.509417934285715,6.766392463969989,8.075982093997778,238.99743770359694,1.5559104901525744,0.14974415912562475
POINT (80.34917301571429 26.51355079142857),80.34917301571429,26.51355079142857,6.741421498982888,8.062271327342328,236.10349291711836,1.5411245099928081,0.15566399901980557
POINT (80.34622920628571 26.517683648571428),80.34622920628571,26.517683648571428,6.716658258435332,8.047554482653979,232.99862360967975,1.5252337671791083,0.16183822490974117
POINT (80.34328539685714 26.521816505714284),80.34328539685714,26.521816505714284,6.692270889065421,8.031857267141616,229.68814930015913,1.5082681070442465,0.16824137700527436
POINT (80.34034158742857 26.525949362857144),80.34034158742857,26.525949362857144,6.668412472416722,8.015227046453996,226.18191138071685,1.490281453061553,0.17484322669910063
POINT (80.337397778 26.53008222),80.337397778,26.53008222,6.645230462849925,7.997741093432819,222.4960218346256,1.471360557424488,0.18160592806615608
POINT (80.33445396857142 26.534215077142857),80.33445396857142,26.534215077142857,6.622871793030878,7.97951279384484,218.65418127748396,1.4516315379455114,0.18848212503602907
POINT (80.33151015914285 26.538347934285714),80.33151015914285,26.538347934285714,6.601484092839816,7.960695104404145,214.68841846212976,1.4312634302866931,0.19541415962308564
POINT (80.32856634971428 26.54248079142857),80.32856634971428,26.54248079142857,6.581213500195413,7.941480563842289,210.63910408921436,1.4104679981477082,0.2023345133256575
POINT (80.32562254028572 26.54661364857143),80.32562254028572,26.54661364857143,6.562199696260267,7.922097354307021,206.5541327152365,1.3894952645768444,0.20916753943306327
POINT (80.32267873085715 26.550746505714287),80.32267873085715,26.550746505714287,6.544569023326883,7.902801305796353,202.48724945513163,1.3686246623828273,0.21583241268919878
POINT (80.31973492142858 26.554879362857143),80.31973492142858,26.554879362857143,6.5284267641241795,7.883864283167621,198.4956131092562,1.3481522978523095,0.22224705600804695
POINT (80.316791112 26.55901222),80.316791112,26.55901222,6.513849787588785,7.865559986989198,194.63681193944245,1.3283754630206126,0.22833263927129718
POINT (80.31384730257143 26.563145077142856),80.31384730257143,26.563145077142856,6.500880724766152,7.84814869101568,190.9656520430424,1.3095760599268886,0.23401812779754544
POINT (80.31090349314286 26.567277934285716),80.31090349314286,26.567277934285716,6.4895245993353114,7.83186268972681,187.53109147643198,1.2920048639007842,0.23924432627114453
POINT (80.30795968371429 26.571410791428573),80.30795968371429,26.571410791428573,6.4797484301091535,7.8168941537893515,184.37367788513978,1.2758684612329925,0.2439669347747658
POINT (80.30501587428571 26.57554364857143),80.30501587428571,26.57554364857143,6.4714838319457755,7.8033866947422625,181.52376438674202,1.261320257659901,0.24815829469967918
POINT (80.30207206485714 26.579676505714286),80.30207206485714,26.579676505714286,6.464632177758865,7.791431320083836,179.00064821901034,1.2484562757051014,0.25180771515500666
POINT (80.29912825542857 26.583809362857142),80.29912825542857,26.583809362857142,6.4590715473235605,7.7810667712230375,176.81263177004448,1.2373157102953307,0.2549204838267066
POINT (80.296184446 26.587942220000002),80.296184446,26.587942220000002,6.454664535066751,7.772283637491678,174.95787932439006,1.2278855645305553,0.257515833665154
POINT (80.29324063657143 26.59207507714286),80.29324063657143,26.59207507714286,6.451266020753629,7.765031241367638,173.42585877846733,1.2201082611257699,0.25962423051481526
POINT (80.29029682714287 26.596207934285715),80.29029682714287,26.596207934285715,6.4487301799929115,7.759226133922524,172.1991243539944,1.2138909623394956,0.26128436253407633
POINT (80.2873530177143 26.60034079142857),80.2873530177143,26.60034079142857,6.4469162588326485,7.7547610993592375,171.25520859718088,1.209115402470787,0.2625401651025794
POINT (80.28440920828572 26.604473648571428),80.28440920828572,26.604473648571428,6.4456928926415396,7.751513775499596,170.568435470458,1.205647267563052,0.26343813017113793
POINT (80.28146539885715 26.608606505714288),80.28146539885715,26.608606505714288,6.444940965995987,7.749354273573962,170.1115243814281,1.2033444599436711,0.26402505255544173
POINT (80.27852158942858 26.612739362857145),80.27852158942858,26.612739362857145,6.444555163146219,7.748151457724921,169.8569132474266,1.202063887038219,0.26434627741043853
POINT (80.27557778 26.61687222),80.27557778,26.61687222,6.444444444444445,7.747777777777778,169.77777777777777,1.2016666666666669,0.2644444444444444
POINT (80.27875346132076 26.61295848830189),80.27875346132076,26.61295848830189,6.444553524297564,7.748146290072107,169.8558191143642,1.2020583896021686,0.26434765081092665
POINT (80.28192914264152 26.609044756603776),80.28192914264152,26.609044756603776,6.444932936694748,7.749331755927443,170.1067592813379,1.2033204610746884,0.2640311775366394
POINT (80.28510482396227 26.60513102490566),80.28510482396227,26.60513102490566,6.445671066178862,7.751458747541383,170.55679627879113,1.205588519871684,0.26345343492304224
POINT (80.28828050528303 26.601217293207547),80.28828050528303,26.601217293207547,6.446869940330571,7.754655230571945,171.232825769438,1.209002199620685,0.2625702481257629
POINT (80.29145618660378 26.597303561509435),80.29145618660378,26.597303561509435,6.4486447305499235,7.7590478849183135,172.16145414401151,1.2137000894305938,0.2613360761236872
POINT (80.29463186792454 26.593389829811322),80.29463186792454,26.593389829811322,6.451122226089804,7.76475603980275,173.36772061687162,1.2198131778815204,0.25970570620225214
POINT (80.29780754924529 26.58947609811321),80.29780754924529,26.58947609811321,6.454438060854563,7.771884325359988,174.8735502603135,1.227456883881569,0.2576364276498382
POINT (80.30098323056605 26.585562366415097),80.30098323056605,26.585562366415097,6.4587325538245794,7.7805143633743485,176.69600629607686,1.2367220168748798,0.25509062344130623
POINT (80.3041589118868 26.58164863471698),80.3041589118868,26.58164863471698,6.464145167696723,7.790696081571833,178.84546500276042,1.2476652940020208,0.25203863539821947
POINT (80.30733459320756 26.577734903018868),80.30733459320756,26.577734903018868,6.470807793212204,7.8024394976162705,181.32389154187177,1.260300328596479,0.24846166726487065
POINT (80.31051027452831 26.573821171320755),80.31051027452831,26.573821171320755,6.478837306237302,7.815708017515618,184.1234365535547,1.2745902244175524,0.24435440979745027
POINT (80.31368595584907 26.569907439622643),80.31368595584907,26.569907439622643,6.488328076752022,7.830414354207869,187.2255859052606,1.2904429822521826,0.23972702640227916
POINT (80.31686163716982 26.56599370792453),80.31686163716982,26.56599370792453,6.499345272788355,7.846420031684014,190.60106607773372,1.307710779569132,0.23460615076784222
POINT (80.32003731849056 26.562079976226418),80.32003731849056,26.562079976226418,6.51191983588497,7.863539072195661,194.21062996412275,1.3261937901973166,0.22903463383015124
POINT (80.32321299981132 26.5581662445283),80.32321299981132,26.5581662445283,6.526045866200844,7.881545904185677,198.00672985404177,1.3456486062524282,0.22306993304481848
POINT (80.32638868113207 26.55425251283019),80.32638868113207,26.55425251283019,6.54168084498116,7.900186878180724,201.93594752438872,1.365800617845612,0.21678123730229215
POINT (80.32956436245283 26.550338781132076),80.32956436245283,26.550338781132076,6.558748690158191,7.919194183319241,205.94192647424285,1.386359056014599,0.21024562325550428
POINT (80.33274004377358 26.546425049433964),80.33274004377358,26.546425049433964,6.577145178480384,7.938300564810445,209.9684691777444,1.4070329705514917,0.2035436953517596
POINT (80.33591572509434 26.54251131773585),80.33591572509434,26.54251131773585,6.59674487793182,7.957253148207057,213.9624428454409,1.427546302763502,0.19675523531094072
POINT (80.3390914064151 26.53859758603774),80.3390914064151,26.53859758603774,6.617408497833359,7.9758248913860275,217.8761828734961,1.447650438357645,0.18995536370835242
POINT (80.34226708773585 26.534683854339622),80.34226708773585,26.534683854339622,6.638989512373983,7.993822635575294,221.6691782469216,1.4671331091546496,0.18321161066329034
POINT (80.3454427690566 26.53077012264151),80.3454427690566,26.53077012264151,6.661339022235422,8.011091283879022,225.30894049401846,1.4858231154417882,0.17658213909448897
POINT (80.34861845037736 26.526856390943397),80.34861845037736,26.526856390943397,6.684308022491909,8.027514162509053,228.771068526092,1.5035909146776105,0.17011520473829994
POINT (80.35179413169811 26.522942659245285),80.35179413169811,26.522942659245285,6.707746460842103,8.043010012140488,232.03860395685047,1.5203455530180952,0.1638498082936894
POINT (80.35496981301887 26.519028927547172),80.35496981301887,26.519028927547172,6.731498624929687,8.05752726424157,235.1008147706941,1.5360286480083356,0.15781741835039784
POINT (80.35814549433962 26.51511519584906),80.35814549433962,26.51511519584906,6.755394442074987,8.07103628220008,237.95155004453608,1.5506061651816447,0.15204462468091767
POINT (80.36132117566038 26.511201464150943),80.36132117566038,26.511201464150943,6.7792361897430675,8.083520128084098,240.58728296601262,1.564058609281567,0.14655661280730323
POINT (80.36449685698113 26.50728773245283),80.36449685698113,26.50728773245283,6.802779908920867,8.094964207376819,243.00491510759605,1.5763700311374875,0.14138141790525663
POINT (80.36767253830189 26.503374000754718),80.36767253830189,26.503374000754718,6.825710520738739,8.105344901333886,245.19936346143783,1.5875159938373002,0.1365550013175385
POINT (80.37084821962264 26.499460269056605),80.37084821962264,26.499460269056605,6.847609340347916,8.114617070755243,247.16090387284578,1.5974504019217932,0.13212727616544231
POINT (80.3740239009434 26.495546537358493),80.3740239009434,26.495546537358493,6.867912495251058,8.122700158625827,248.87221138783218,1.6060909311438014,0.12816926384566407
POINT (80.37719958226415 26.49163280566038),80.37719958226415,26.49163280566038,6.885858940050959,8.129462603417597,250.30503480424557,1.6133027786219472,0.12478154992833101
